,Steps until goal,Reward_until_goal
744,38.0,-2126
745,34.0,-2548
746,45.0,-1337
747,28.0,-1121
748,46.0,-2333
749,34.0,-1141
750,32.0,-2717
751,35.0,-1327
752,16.0,-114
753,28.0,-936
754,44.0,-1563
755,39.0,-1743
756,57.0,-3538
757,44.0,-1975
758,69.0,-3962
759,20.0,-715
760,22.0,-1115
761,61.0,-3556
762,59.0,-4350
763,48.0,-2206
764,38.0,-2339
765,27.0,-1532
766,28.0,-538
767,58.0,-3766
768,22.0,-1314
769,30.0,-1151
770,32.0,-1551
771,75.0,-5005
772,36.0,-1342
773,28.0,-779
774,45.0,-2346
775,48.0,-1752
776,54.0,-2198
777,53.0,-2794
778,42.0,-1760
779,29.0,-1534
780,85.0,-4376
781,28.0,-552
782,43.0,-2344
783,33.0,-1765
784,47.0,-3528
785,24.0,-1515
786,32.0,-3712
787,33.0,-1552
788,37.0,-1755
789,40.0,-1332
790,18.0,-542
791,40.0,-1744
792,52.0,-2964
793,22.0,-319
794,50.0,-1939
795,37.0,-1130
796,34.0,-984
797,48.0,-1979
798,38.0,-2140
799,90.0,-7010
800,43.0,-2344
801,28.0,-1533
802,45.0,-1351
803,32.0,-940
804,103.0,-6098
805,42.0,-2343
806,39.0,-1558
807,20.0,-317
808,66.0,-3348
809,22.0,-1143
810,39.0,-2539
811,38.0,-1742
812,55.0,-2171
813,36.0,-2166
814,34.0,-1965
815,65.0,-2991
816,18.0,-528
817,16.0,-114
818,46.0,-2389
819,44.0,-1549
820,93.0,-5592
821,38.0,-1770
822,22.0,-134
823,96.0,-6632
824,54.0,-4729
825,36.0,-1726
826,51.0,-2736
827,51.0,-2949
828,42.0,-2329
829,50.0,-2735
830,22.0,-120
831,42.0,-2528
832,51.0,-2778
833,41.0,-1958
834,30.0,-1322
835,35.0,-1924
836,26.0,-1318
837,47.0,-3741
838,30.0,-1336
839,24.0,-534
840,23.0,-1315
841,46.0,-1949
842,28.0,-922
843,21.0,-730
844,35.0,-1355
845,35.0,-1582
846,55.0,-2754
847,38.0,-2723
848,48.0,-1766
849,28.0,-723
850,33.0,-1325
851,49.0,-3530
852,28.0,-182
853,22.0,-120
854,36.0,-1541
855,26.0,-1531
856,61.0,-3556
857,20.0,-715
858,24.0,-1117
859,60.0,-3953
860,41.0,-1745
861,22.0,-1129
862,41.0,-1944
863,24.0,-932
864,41.0,-2754
865,31.0,-740
866,34.0,-1354
867,40.0,-2753
868,39.0,-1530
869,32.0,-1338
870,33.0,-1353
871,26.0,-934
872,28.0,-1320
873,56.0,-2783
874,30.0,-753
875,70.0,-4204
876,55.0,-2541
877,20.0,-729
878,109.0,-6446
879,50.0,-2948
880,37.0,-1940
881,65.0,-3944
882,125.0,-7740
883,76.0,-4224
884,63.0,-3373
885,53.0,-3562
886,38.0,-2566
887,40.0,-2554
888,22.0,-518
889,51.0,-2139
890,40.0,-1957
891,56.0,-3537
892,45.0,-3341
893,24.0,-719
894,82.0,-5553
895,40.0,-1332
896,66.0,-3973
897,34.0,-1553
898,40.0,-990
899,26.0,-337
900,30.0,-924
901,40.0,-2540
902,33.0,-1765
903,50.0,-1213
904,64.0,-2805
905,30.0,-924
906,52.0,-1983
907,50.0,-2152
908,75.0,-6342
909,34.0,-1354
910,38.0,-1557
911,32.0,-1736
912,24.0,-932
913,46.0,-1565
914,42.0,-950
915,33.0,-1737
916,36.0,-1726
917,34.0,-1738
918,30.0,-952
919,51.0,-2750
920,22.0,-134
921,34.0,-1923
922,51.0,-2366
923,52.0,-2936
924,37.0,-1343
925,53.0,-2539
926,30.0,-1720
927,43.0,-1761
928,43.0,-3140
929,34.0,-1326
930,51.0,-3162
931,28.0,-751
932,20.0,-132
933,28.0,-1135
934,54.0,-2980
935,53.0,-2965
936,82.0,-4230
937,69.0,-4147
938,16.0,-114
939,46.0,-3328
940,53.0,-3136
941,44.0,-3340
942,34.0,-1155
943,48.0,-2206
944,92.0,-6998
945,53.0,-2382
946,49.0,-1980
947,48.0,-2136
948,20.0,-530
949,91.0,-5091
950,22.0,-532
951,30.0,-1535
952,58.0,-3937
953,44.0,-3127
954,38.0,-1955
955,34.0,-1951
956,72.0,-4761
957,39.0,-2937
958,55.0,-3365
959,55.0,-3749
960,41.0,-2342
961,32.0,-1181
962,34.0,-942
963,28.0,-1519
964,20.0,-331
965,45.0,-1550
966,74.0,-3782
967,60.0,-3171
968,34.0,-2122
969,24.0,-932
970,53.0,-2979
971,26.0,-578
972,52.0,-3348
973,47.0,-3542
974,24.0,-719
975,29.0,-1918
976,28.0,-524
977,65.0,-3148
978,28.0,-950
979,33.0,-2135
980,40.0,-1147
981,47.0,-2931
982,73.0,-2985
983,24.0,-520
984,67.0,-2808
985,52.0,-3348
986,16.0,-313
987,42.0,-2144
988,26.0,-735
989,60.0,-3754
990,39.0,-3520
991,72.0,-4775
992,48.0,-2747
993,40.0,-1360
994,40.0,-2725
995,22.0,-717
996,44.0,-2757
997,39.0,-1544
998,73.0,-4790
999,42.0,-1547
1000,50.0,-3133
1001,34.0,-956
1002,28.0,-737
1003,32.0,-1537
1004,36.0,-1527
1005,37.0,-2324
1006,38.0,-1529
1007,166.0,-10099
1008,34.0,-2150
1009,66.0,-3973
1010,52.0,-4144
1011,48.0,-2747
1012,48.0,-1354
1013,24.0,-918
1014,44.0,-1179
1015,40.0,-1943
1016,38.0,-1145
1017,34.0,-1183
1018,30.0,-1137
1019,28.0,-950
1020,75.0,-3029
1021,66.0,-4755
1022,57.0,-4931
1023,61.0,-2788
1024,32.0,-2319
1025,30.0,-1549
1026,42.0,-1533
1027,29.0,-1321
1028,34.0,-1567
1029,18.0,-528
1030,37.0,-1926
1031,32.0,-1722
1032,48.0,-3145
1033,66.0,-3191
1034,61.0,-2987
1035,43.0,-2728
1036,61.0,-2987
1037,39.0,-2539
1038,68.0,-3605
1039,51.0,-3560
1040,37.0,-1570
1041,22.0,-916
1042,26.0,-1318
1043,33.0,-1552
1044,59.0,-3568
1045,54.0,-2952
1046,45.0,-1948
1047,52.0,-4329
1048,40.0,-2540
1049,29.0,-1150
1050,42.0,-1205
1051,69.0,-4189
1052,20.0,-331
1053,49.0,-1952
1054,34.0,-970
1055,37.0,-2523
1056,29.0,-937
1057,32.0,-1338
1058,43.0,-1576
1059,107.0,-7610
1060,48.0,-2548
1061,16.0,-327
1062,32.0,-1125
1063,30.0,-952
1064,61.0,-4153
1065,40.0,-948
1066,28.0,-950
1067,32.0,-556
1068,50.0,-1356
1069,82.0,-3975
1070,42.0,-2769
1071,30.0,-1123
1072,44.0,-3354
1073,54.0,-1615
1074,37.0,-1186
1075,26.0,-934
1076,44.0,-1933
1077,70.0,-4588
1078,28.0,-1931
1079,32.0,-940
1080,41.0,-2541
1081,84.0,-5370
1082,38.0,-761
1083,14.0,-112
1084,49.0,-2734
1085,51.0,-2565
1086,41.0,-2370
1087,38.0,-1955
1088,34.0,-1141
1089,26.0,-763
1090,36.0,-972
1091,38.0,-1543
1092,27.0,-2157
1093,30.0,-1535
1094,60.0,-3384
1095,24.0,-733
1096,31.0,-1721
1097,90.0,-5617
1098,53.0,-3960
1099,87.0,-4406
1100,43.0,-2330
1101,36.0,-1967
1102,43.0,-3325
1103,30.0,-1350
1104,42.0,-2343
1105,62.0,-4566
1106,100.0,-5997
1107,48.0,-2960
1108,26.0,-1133
1109,41.0,-2740
1110,30.0,-1322
1111,20.0,-530
1112,20.0,-729
1113,32.0,-2134
1114,46.0,-2162
1115,35.0,-1924
1116,30.0,-753
1117,41.0,-2356
1118,41.0,-3522
1119,104.0,-7778
1120,71.0,-3978
1121,23.0,-1130
1122,28.0,-1121
1123,40.0,-976
1124,40.0,-1943
1125,30.0,-540
1126,47.0,-2973
1127,16.0,-512
1128,60.0,-4337
1129,31.0,-925
1130,69.0,-3805
1131,38.0,-1543
1132,33.0,-1566
1133,38.0,-747
1134,32.0,-1551
1135,32.0,-727
1136,32.0,-1722
1137,35.0,-1753
1138,25.0,-933
1139,60.0,-2232
1140,44.0,-1151
1141,51.0,-3347
1142,25.0,-1516
1143,38.0,-2524
1144,42.0,-1362
1145,33.0,-1737
1146,51.0,-2153
1147,50.0,-2365
1148,28.0,-922
1149,54.0,-2980
1150,24.0,-1728
1151,87.0,-6368
1152,48.0,-2164
1153,66.0,-4200
1154,42.0,-3523
1155,46.0,-4152
1156,28.0,-723
1157,128.0,-7645
1158,43.0,-2941
1159,27.0,-1745
1160,58.0,-2544
1161,57.0,-4135
1162,36.0,-1754
1163,30.0,-924
1164,80.0,-4385
1165,64.0,-5577
1166,29.0,-951
1167,45.0,-2730
1168,36.0,-333
1169,22.0,-930
1170,80.0,-4001
1171,60.0,-3185
1172,66.0,-4172
1173,45.0,-1749
1174,38.0,-775
1175,28.0,-1533
1176,39.0,-2127
1177,24.0,-150
1178,41.0,-1560
1179,102.0,-5458
1180,40.0,-2341
1181,144.0,-7717
1182,34.0,-2335
1183,54.0,-1943
1184,24.0,-321
1185,37.0,-1556
1186,16.0,-711
1187,57.0,-3353
1188,48.0,-3159
1189,28.0,-737
1190,35.0,-2137
1191,44.0,-2942
1192,46.0,-2333
1193,56.0,-2968
1194,22.0,-717
1195,66.0,-3233
1196,39.0,-1942
1197,29.0,-752
1198,34.0,-2335
1199,64.0,-2990
1200,45.0,-3128
1201,52.0,-1955
1202,41.0,-2171
1203,66.0,-3561
1204,20.0,-132
1205,43.0,-1548
1206,63.0,-2804
1207,68.0,-4757
1208,38.0,-1173
1209,34.0,-544
1210,54.0,-1800
1211,44.0,-2942
1212,32.0,-542
1213,37.0,-2523
1214,24.0,-1131
1215,52.0,-1557
1216,67.0,-4557
1217,30.0,-1521
1218,40.0,-1758
1219,52.0,-1756
1220,18.0,-727
1221,14.0,73
1222,65.0,-3787
1223,20.0,-317
1224,57.0,-4348
1225,85.0,-6010
1226,52.0,-2936
1227,24.0,-1117
1228,34.0,-1368
1229,51.0,-2935
1230,34.0,-1340
1231,64.0,-3943
1232,27.0,-1717
1233,55.0,-3351
1234,31.0,-1920
1235,38.0,-1941
1236,44.0,-2331
1237,26.0,-1929
1238,35.0,-1924
1239,34.0,-1539
1240,44.0,-2544
1241,31.0,-768
1242,22.0,-532
1243,14.0,87
1244,30.0,-1521
1245,50.0,-2166
1246,28.0,-723
1247,43.0,-2529
1248,35.0,-3530
1249,60.0,-3754
1250,28.0,-1746
1251,56.0,-4532
1252,37.0,-2338
1253,52.0,-3732
1254,31.0,-2147
1255,49.0,-3544
1256,33.0,-2945
1257,33.0,-1723
1258,75.0,-3811
1259,45.0,-2147
1260,66.0,-4158
1261,52.0,-2395
1262,53.0,-2766
1263,56.0,-3579
1264,41.0,-2143
1265,63.0,-6742
1266,44.0,-1748
1267,27.0,-1546
1268,67.0,-4585
1269,68.0,-3193
1270,16.0,-114
1271,72.0,-6353
1272,54.0,-3933
1273,54.0,-3364
1274,54.0,-2568
1275,29.0,-1548
1276,77.0,-5974
1277,33.0,-1737
1278,59.0,-4179
1279,28.0,-1334
1280,52.0,-2566
1281,34.0,-1141
1282,27.0,-1717
1283,22.0,-347
1284,42.0,-1945
1285,32.0,-1523
1286,78.0,-3814
1287,20.0,-914
1288,46.0,-3356
1289,46.0,-1352
1290,56.0,-1945
1291,39.0,-2326
1292,55.0,-4133
1293,32.0,-1324
1294,30.0,-2132
1295,62.0,-4339
1296,46.0,-1551
1297,35.0,-1952
1298,16.0,-711
1299,43.0,-3524
1300,86.0,-4590
1301,58.0,-4335
1302,24.0,-349
1303,32.0,-1167
1304,48.0,-2391
1305,32.0,-343
1306,61.0,-4537
1307,54.0,-3577
1308,24.0,-349
1309,26.0,-735
1310,56.0,-1973
1311,63.0,-2762
1312,32.0,-1125
1313,44.0,-3923
1314,36.0,-2735
1315,26.0,-721
1316,35.0,-1781
1317,40.0,-1388
1318,24.0,-122
1319,40.0,-2184
1320,41.0,-2740
1321,40.0,-2526
1322,36.0,-1726
1323,40.0,-2526
1324,30.0,-1336
1325,21.0,-517
1326,26.0,-721
1327,92.0,-5235
1328,71.0,-5556
1329,26.0,-934
1330,67.0,-4016
1331,29.0,-2728
1332,54.0,-2554
1333,35.0,-1725
1334,42.0,-1135
1335,84.0,-4986
1336,47.0,-1978
1337,18.0,-329
1338,45.0,-2559
1339,46.0,-2944
1340,32.0,-1736
1341,33.0,-1339
1342,74.0,-3653
1343,26.0,-1133
1344,105.0,-7011
1345,42.0,-1561
1346,28.0,-1135
1347,36.0,-1939
1348,38.0,-2922
1349,19.0,-913
1350,28.0,-552
1351,57.0,-4774
1352,71.0,-4959
1353,45.0,-3156
1354,30.0,-753
1355,28.0,-1533
1356,48.0,-2775
1357,26.0,-920
1358,30.0,-1720
1359,57.0,-5158
1360,74.0,-3995
1361,30.0,-1151
1362,49.0,-3359
1363,28.0,-936
1364,53.0,-2766
1365,27.0,-1546
1366,33.0,-1538
1367,34.0,-2321
1368,89.0,-6412
1369,26.0,-1531
1370,28.0,-339
1371,78.0,-4041
1372,31.0,-1152
1373,33.0,-1751
1374,36.0,-2536
1375,70.0,-4602
1376,37.0,-1727
1377,28.0,-737
1378,33.0,-1552
1379,26.0,-721
1380,48.0,-2761
1381,35.0,-2137
1382,75.0,-3811
